team_name,matches_played,possession_avg,shots_per_game,shots_on_target_pg,conversion_rate,xg_for_avg,xg_against_avg,home_wins,home_draws,home_losses,away_wins,away_draws,away_losses,home_goals_for,home_goals_against,away_goals_for,away_goals_against,clean_sheet_pct,clean_sheet_pct_home,clean_sheet_pct_away,failed_to_score_pct,failed_to_score_pct_home,failed_to_score_pct_away,btts_pct,btts_pct_home,btts_pct_away,over25_pct,over25_pct_home,over25_pct_away,last5_form,last5_wins,last5_draws,last5_losses,last5_goals_for,last5_goals_against
Barcelona,15,67,19.93,6.95,14,2.24,1.03,8,0,0,4,1,2,26,5,16,12,27,38,14,0,0,0,73,62,86,80,75,86,WWWWW,5,0,0,19,7
Villarreal,14,46,13.5,4.71,15,1.55,1.42,6,1,0,4,1,2,18,4,11,9,43,57,29,7,0,14,57,43,71,57,57,57,WWWWW,5,0,0,13,3
Real Madrid,15,60,19.67,6.87,11,2.24,1.15,6,0,0,5,3,1,14,3,18,10,47,50,44,7,0,11,53,50,56,60,67,56,WDDDW,2,3,0,10,3
Atletico Madrid,15,54,13.53,5.27,14,1.65,1.17,7,1,0,2,3,2,20,6,8,8,40,50,29,0,0,0,60,50,71,60,63,29,LLWWW,3,0,2,7,5
Espanyol,14,41,13.5,4.64,10,1.53,1.49,5,1,2,2,2,2,12,10,6,6,36,25,50,21,13,33,43,50,33,36,38,33,WWWLL,3,0,2,5,5
Celta Vigo,14,52,11.21,4.07,10,1.31,1.41,0,5,3,3,2,1,7,12,9,7,7,0,17,14,25,0,43,63,33,50,38,67,LWLWW,3,0,2,8,8
Athletic Bilbao,15,48,12.87,4.60,7,1.47,1.17,4,1,3,2,1,4,8,9,6,11,27,25,29,47,38,57,33,38,29,40,38,43,WLWLW,3,0,2,4,7
Real Betis,14,51,14.71,5.36,11,1.62,1.29,4,1,2,2,5,0,11,6,11,8,29,43,14,7,14,0,57,43,86,43,29,57,LWDDW,2,2,1,10,7
Real Sociedad,14,51,13.93,5.07,10,1.58,1.33,3,1,3,1,3,3,11,11,8,10,7,14,0,14,14,14,79,72,86,57,71,43,LLWDW,2,1,2,9,8
Getafe,14,40,9.43,3.21,10,1.11,1.27,3,2,2,3,0,4,7,5,6,10,29,29,29,36,29,43,36,43,29,29,14,43,LWLLW,2,0,3,3,5
Alaves,14,50,11.14,4.00,8,1.25,1.27,3,2,2,1,1,5,9,7,3,8,14,14,14,43,29,57,43,57,29,36,43,29,WLLLW,2,0,3,4,6
Valencia,14,47,10.64,3.64,9,1.16,1.56,3,2,2,0,3,4,9,6,4,16,29,43,14,36,14,57,36,43,14,50,43,57,DDWDL,1,3,1,4,7
Elche,14,59,11.14,4.21,10,1.32,1.41,3,4,0,0,3,4,9,5,6,12,21,43,0,21,14,29,50,43,71,43,29,57,WLDDL,1,2,2,7,7
Girona,14,47,9.43,3.50,10,1.14,1.92,2,3,3,0,3,3,8,14,5,12,14,25,0,29,38,17,50,38,50,50,50,50,LDDWL,1,2,2,4,7
Mallorca,15,45,10.53,3.73,9,1.22,1.65,2,4,1,1,1,6,7,8,8,14,20,29,13,27,14,38,53,57,50,47,29,63,DDLWL,1,2,2,4,7
Sevilla,14,54,11.14,4.21,12,1.26,1.36,2,1,4,3,0,4,10,12,9,11,21,14,29,14,14,14,43,43,43,57,71,43,DLLWL,1,1,3,3,8
Real Oviedo,15,45,9.07,3.07,5,1.03,1.92,1,3,4,1,1,5,2,10,5,12,27,50,0,73,75,71,20,25,14,27,13,43,DLDLD,0,3,2,0,3
Rayo Vallecano,14,54,13.14,4.50,7,1.47,1.37,1,4,1,3,1,4,4,4,9,11,36,33,38,43,33,50,21,33,13,29,17,38,LDDDL,0,3,2,1,6
Osasuna,14,47,10.36,3.79,8,1.20,1.51,3,1,2,0,2,6,9,8,3,10,21,33,13,43,0,75,36,67,25,36,50,25,DLLDL,0,2,3,5,9
Levante,14,40,10.29,3.71,11,1.14,1.90,0,1,5,2,2,4,6,16,10,10,14,0,25,29,33,25,50,67,50,50,83,25,LLLLD,0,1,4,3,9
