team_name,matches_played,possession_avg,shots_per_game,shots_on_target_pg,conversion_rate,xg_for_avg,xg_against_avg,home_wins,home_draws,home_losses,away_wins,away_draws,away_losses,home_goals_for,home_goals_against,away_goals_for,away_goals_against,clean_sheet_pct,clean_sheet_pct_home,clean_sheet_pct_away,failed_to_score_pct,failed_to_score_pct_home,failed_to_score_pct_away,btts_pct,btts_pct_home,btts_pct_away,over25_pct,over25_pct_home,over25_pct_away,last5_form,last5_wins,last5_draws,last5_losses,last5_goals_for,last5_goals_against
Lens,15,48,13.87,5.65,13,1.55,1.42,6,0,1,5,1,2,14,4,12,9,27,43,13,27,14,38,46,43,50,73,71,75,WWWWL,4,0,1,10,4
Paris Saint Germain,15,70,17.93,6.71,12,2.13,0.95,6,1,0,4,2,2,17,3,15,9,53,86,25,13,0,25,33,14,50,87,86,75,WWWDD,3,1,1,8,4
Marseille,15,60,14.07,6.38,17,1.67,0.98,5,2,0,4,0,4,23,8,12,7,33,43,25,20,0,38,47,57,38,93,100,63,WWWLD,3,1,1,11,4
Lille,15,56,15.07,6.53,13,1.71,1.08,6,1,1,3,1,3,16,6,13,11,33,38,29,27,13,43,40,50,29,87,75,100,WWWWL,4,0,1,7,4
Lyon,14,55,12.64,5.07,12,1.45,1.25,5,0,2,2,3,2,13,6,8,9,57,57,57,14,0,29,29,43,14,79,86,71,WDWDD,1,3,1,8,6
Stade Rennes,15,50,12.60,5.23,13,1.44,1.58,4,2,1,2,4,2,15,7,9,16,27,29,25,20,14,25,53,57,50,87,86,88,WWWWD,4,1,0,12,4
Monaco,15,55,12.53,5.60,14,1.43,1.45,5,1,2,2,1,4,16,12,10,14,13,25,0,20,13,29,67,63,71,100,100,100,WLLLL,1,0,4,3,10
Strasbourg,15,52,11.07,5.30,15,1.30,1.22,5,0,2,2,1,5,14,4,11,15,40,71,13,13,0,25,47,29,63,73,71,88,LLLWW,2,0,3,7,7
Toulouse,15,41,12.53,5.53,11,1.38,1.22,3,3,2,2,2,3,14,11,7,8,33,50,14,27,25,29,40,25,57,73,88,57,DDDLL,0,4,1,5,6
Angers,15,41,8.53,3.40,10,0.98,1.78,3,2,2,1,2,5,8,6,5,11,33,43,25,33,14,50,34,43,25,67,67,67,DDWLL,2,1,2,6,5
Brest,15,44,12.07,5.30,11,1.32,1.42,3,3,2,2,1,4,12,11,8,13,27,38,14,40,38,43,33,25,43,87,88,100,WWWDD,3,1,1,6,6
Nice,15,47,11.40,5.00,11,1.24,1.81,4,1,2,1,1,6,11,10,8,16,13,25,0,20,25,14,67,50,86,87,75,100,WLLLL,1,0,4,5,11
Paris FC,15,55,12.67,5.60,11,1.36,1.29,2,2,3,2,2,4,12,12,9,14,20,14,25,20,14,25,60,71,50,87,100,75,DDWLL,1,2,2,7,9
Le Havre,15,46,11.80,4.20,7,1.34,1.34,2,4,2,1,2,4,9,8,4,14,33,25,43,40,25,57,27,50,0,60,57,71,DDWLL,1,2,2,2,5
Lorient,14,44,12.00,5.33,11,1.34,1.27,3,3,1,0,2,5,16,14,2,14,7,14,0,36,0,71,57,86,29,93,100,71,DDDWL,1,3,1,6,7
Auxerre,15,44,10.87,3.80,7,1.23,1.35,3,1,4,0,2,5,4,6,4,14,20,38,0,47,38,57,33,25,43,53,38,86,DDLLL,0,2,3,1,7
Nantes,15,42,9.93,4.47,9,1.02,1.81,1,2,5,1,3,3,8,15,5,9,13,13,14,47,38,57,40,50,29,73,100,67,DDLLL,0,2,3,5,12
Metz,15,49,8.93,4.00,11,1.02,1.68,2,2,3,1,0,7,5,7,10,24,20,29,13,40,57,25,40,14,63,87,43,100,WWLLL,2,0,3,8,5
