team_name,matches_played,possession_avg,shots_per_game,shots_on_target_pg,conversion_rate,xg_for_avg,xg_against_avg,home_wins,home_draws,home_losses,away_wins,away_draws,away_losses,home_goals_for,home_goals_against,away_goals_for,away_goals_against,clean_sheet_pct,clean_sheet_pct_home,clean_sheet_pct_away,failed_to_score_pct,failed_to_score_pct_home,failed_to_score_pct_away,btts_pct,btts_pct_home,btts_pct_away,over25_pct,over25_pct_home,over25_pct_away,last5_form,last5_wins,last5_draws,last5_losses,last5_goals_for,last5_goals_against,last5_ppg,last5_cs_pct,last5_fts_pct,last5_btts_pct,last5_over25_pct
Inter Milan,14,59,17.43,6.14,13,1.89,1.09,8,0,0,4,0,2,21,5,11,8,50,50,50,7,13,0,43,38,50,64,63,50,WWLWW,4,0,1,10,2,2.4,60,20,20,40
Juventus,13,58,16.77,5.31,8,1.86,1.12,4,3,0,2,2,2,12,6,5,6,31,43,17,31,29,33,38,29,33,46,57,17,WDDWW,3,2,0,8,4,2.2,20,20,80,60
AC Milan,13,50,13.31,4.38,11,1.48,1.32,5,1,1,3,3,0,10,6,9,3,54,43,67,8,0,17,38,57,33,46,43,33,WWDWD,3,2,0,6,3,2.2,60,0,40,20
Bologna,13,57,13.92,5.08,12,1.49,1.04,4,1,1,3,2,2,10,4,12,7,46,67,29,23,17,29,31,17,43,54,33,71,DLWWW,3,1,1,10,5,2.0,40,0,60,60
Napoli,13,57,13.38,4.62,11,1.57,1.13,5,1,0,4,0,3,12,5,8,6,38,33,43,23,17,29,39,50,29,62,67,29,WWLDW,3,1,1,5,3,2.0,60,40,20,20
Como,14,61,13.86,4.79,10,1.56,1.20,4,3,0,2,3,2,11,3,8,10,43,57,29,36,14,57,21,29,0,50,43,57,LWWDD,2,2,1,7,5,1.6,60,60,20,40
Genoa,13,49,12.38,4.62,8,1.34,1.22,1,3,3,1,2,3,4,9,9,11,15,29,0,38,71,0,54,43,100,69,29,100,WDDWL,2,2,1,9,9,1.6,0,20,80,80
Sassuolo,14,46,11.21,4.36,12,1.25,1.51,3,1,3,3,1,3,10,9,9,9,29,14,43,29,29,29,42,57,29,64,71,43,WLDWL,2,1,2,9,7,1.4,20,20,60,80
Lazio,13,51,10.77,4.08,11,1.26,1.45,4,1,1,1,2,4,12,4,3,6,54,67,43,54,17,86,8,0,14,38,67,14,DLWLW,2,1,2,5,4,1.4,40,40,20,0
Lecce,14,45,9.50,3.57,8,1.10,1.42,1,3,3,2,1,4,5,8,5,10,36,29,43,50,57,43,14,14,14,36,29,43,LWLDW,2,1,2,3,5,1.4,40,60,20,20
AS Roma,14,58,13.14,4.50,8,1.54,1.19,4,0,3,5,0,2,7,4,8,4,43,43,43,36,43,29,21,29,14,29,29,29,LLWWL,2,0,3,5,4,1.2,20,60,20,20
Cremonese,14,46,8.50,3.50,15,1.00,1.78,2,3,2,3,2,2,9,9,9,9,29,29,29,21,14,29,50,57,43,64,71,43,WWLLL,2,0,3,7,7,1.2,20,20,60,60
Pisa,13,39,9.77,3.62,8,1.02,1.74,1,3,3,0,4,2,1,4,9,14,31,57,0,54,86,17,15,0,17,31,14,50,LDWDD,1,3,1,5,6,1.2,40,40,40,40
Udinese,13,47,11.77,4.15,9,1.30,1.37,2,2,2,3,1,3,6,10,8,10,23,17,29,23,33,14,54,50,57,69,67,71,WLLWL,2,0,3,4,8,1.2,40,40,20,40
Cagliari,14,45,9.71,3.86,10,1.07,1.48,2,2,3,1,3,3,8,10,6,9,21,29,14,36,29,43,43,43,43,57,71,43,WLDDL,1,2,2,5,7,1.0,40,40,40,40
Verona,14,39,12.14,4.21,6,1.38,1.41,1,3,3,0,3,4,8,9,3,12,21,14,29,43,29,57,36,57,29,50,57,43,WLLDL,1,1,3,6,7,0.8,20,20,80,80
Parma,13,42,10.92,3.85,6,1.18,1.49,1,3,3,1,2,3,6,10,3,7,23,14,33,54,43,67,23,29,0,46,57,33,LWDLL,1,1,3,6,10,0.8,0,20,80,80
Torino,13,43,11.54,4.15,8,1.29,1.58,2,2,2,1,3,3,6,11,6,12,38,33,43,38,33,43,24,33,14,69,83,57,LLDDD,0,3,2,4,9,0.6,40,40,60,60
Atalanta,14,57,14.79,5.29,8,1.60,1.27,2,4,1,1,3,3,9,7,8,10,21,29,14,21,29,14,58,43,71,64,57,86,LWLLL,1,0,4,4,10,0.6,20,40,40,60
Fiorentina,14,51,11.64,4.14,7,1.17,1.51,0,2,4,0,4,4,6,11,5,13,14,0,25,36,17,50,50,83,38,64,83,50,LLDDL,0,2,3,4,9,0.4,0,40,60,40
